subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
4,2,90,3,1,100,44184,1,1,2,1208,1,8724,6.36363636363636,7.45454545454545,7.90909090909091,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,23,3,0,100,32158,1,0,1,6422,1,3132,8,7.72727272727273,8,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,50,3,1,75,53595,1,1,1,3486,1,9533,6.18181818181818,5.27272727272727,6.90909090909091,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,87,3,0,96,67139,1,0,2,6924,1,3679,6.6,9.2,7.7,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,194,3,1,96,29276,1,1,1,4975,1,3084,5.63636363636364,6.72727272727273,6.54545454545455,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,151,3,1,100,34873,1,1,2,4503,1,3981,6.4,5.6,5.9,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,103,3,1,-100,49467,0,0,2,11490,1,14273,3.54545454545455,3.45454545454545,7.27272727272727,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,124,3,0,85,53668,1,0,2,2232,1,2602,5.6,8.9,8.2,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,28,3,0,100,53314,1,0,2,2895,1,3506,6.27272727272727,6.18181818181818,6.18181818181818,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,206,3,0,93,41901,1,0,2,9490,1,2769,5.90909090909091,5.72727272727273,2.45454545454545,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,128,2,0,-87,39142,0,1,2,8409,1,4509,5.6,6.6,7.8,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,85,3,1,98,70099,1,1,2,2243,1,4172,5.2,6.4,5.9,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,31,3,1,99,22264,1,1,2,2755,1,2766,7.5,8,7.4,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
